time,pr_day_CCSM4_rcp85
2006-10-05 00:00:00+00:00,0.0
2006-10-06 00:00:00+00:00,0.0
2006-10-07 00:00:00+00:00,0.0
2006-10-08 00:00:00+00:00,0.0
2006-10-09 00:00:00+00:00,0.0
2006-10-10 00:00:00+00:00,0.0
2006-10-11 00:00:00+00:00,1.1736580063370639e-06
2006-10-12 00:00:00+00:00,9.71250938164303e-06
2006-10-13 00:00:00+00:00,1.5089682392499526e-07
2006-10-14 00:00:00+00:00,0.0
2006-10-15 00:00:00+00:00,0.0
2006-10-16 00:00:00+00:00,9.657760529080406e-07
2006-10-17 00:00:00+00:00,1.2603532923094463e-05
2006-10-18 00:00:00+00:00,1.7040822058334015e-05
2006-10-19 00:00:00+00:00,5.078558388049714e-06
2006-10-20 00:00:00+00:00,0.0
2006-10-21 00:00:00+00:00,0.0
2006-10-22 00:00:00+00:00,0.0
2006-10-23 00:00:00+00:00,0.0
2006-10-24 00:00:00+00:00,0.0
2006-10-25 00:00:00+00:00,0.0
2006-10-26 00:00:00+00:00,0.0
2006-10-27 00:00:00+00:00,0.0
2006-10-28 00:00:00+00:00,0.0
2006-10-29 00:00:00+00:00,0.00037478722515515983
2006-10-30 00:00:00+00:00,0.00015168735990300775
2006-10-31 00:00:00+00:00,4.353310941951349e-06
2006-11-01 00:00:00+00:00,3.37385230864129e-08
2006-11-02 00:00:00+00:00,0.0
2006-11-03 00:00:00+00:00,0.0
2006-11-04 00:00:00+00:00,0.0
2006-11-05 00:00:00+00:00,0.0
2006-11-06 00:00:00+00:00,4.917889327771263e-06
2006-11-07 00:00:00+00:00,1.8908299352915492e-06
2006-11-08 00:00:00+00:00,2.513428989914246e-05
2006-11-09 00:00:00+00:00,0.00012525866623036563
2006-11-10 00:00:00+00:00,7.133610779419541e-05
2006-11-11 00:00:00+00:00,0.0
2006-11-12 00:00:00+00:00,0.0
2006-11-13 00:00:00+00:00,1.7977037032324006e-06
2006-11-14 00:00:00+00:00,0.0
2006-11-15 00:00:00+00:00,0.00021378752717282623
2006-11-16 00:00:00+00:00,8.34169186418876e-05
2006-11-17 00:00:00+00:00,4.863564026891254e-05
2006-11-18 00:00:00+00:00,3.5794910218100995e-05
2006-11-19 00:00:00+00:00,1.7451133317081258e-05
2006-11-20 00:00:00+00:00,2.366059334235615e-06
2006-11-21 00:00:00+00:00,1.9330420855112607e-06
2006-11-22 00:00:00+00:00,1.027894722938072e-05
2006-11-23 00:00:00+00:00,3.537501470418647e-06
2006-11-24 00:00:00+00:00,0.0
2006-11-25 00:00:00+00:00,0.0
2006-11-26 00:00:00+00:00,1.1416042298151297e-06
2006-11-27 00:00:00+00:00,4.264303697709693e-06
2006-11-28 00:00:00+00:00,2.807229748214013e-06
2006-11-29 00:00:00+00:00,0.0
2006-11-30 00:00:00+00:00,0.0
2006-12-01 00:00:00+00:00,0.0
2006-12-02 00:00:00+00:00,0.0
2006-12-03 00:00:00+00:00,0.0
2006-12-04 00:00:00+00:00,4.913819751095616e-08
2006-12-05 00:00:00+00:00,0.0
2006-12-06 00:00:00+00:00,0.0
2006-12-07 00:00:00+00:00,0.0
2006-12-08 00:00:00+00:00,0.0
2006-12-09 00:00:00+00:00,0.0
2006-12-10 00:00:00+00:00,0.0
2006-12-11 00:00:00+00:00,0.0
2006-12-12 00:00:00+00:00,5.3671128625865094e-06
2006-12-13 00:00:00+00:00,1.8620588662088267e-06
2006-12-14 00:00:00+00:00,0.0
2006-12-15 00:00:00+00:00,0.0
2006-12-16 00:00:00+00:00,2.367486376897432e-05
2006-12-17 00:00:00+00:00,9.611508721718565e-05
2006-12-18 00:00:00+00:00,0.000182400515768677
2006-12-19 00:00:00+00:00,3.572291120690352e-07
2006-12-20 00:00:00+00:00,2.232459195283809e-08
2006-12-21 00:00:00+00:00,3.111281694145873e-05
2006-12-22 00:00:00+00:00,0.0
2006-12-23 00:00:00+00:00,0.0
2006-12-24 00:00:00+00:00,0.0
2006-12-25 00:00:00+00:00,0.0
2006-12-26 00:00:00+00:00,0.0
