time,tasmax_day_CCSM4_rcp85
2006-06-09 00:00:00+00:00,294.4635314941406
2006-06-10 00:00:00+00:00,294.6670227050781
2006-06-11 00:00:00+00:00,293.9567565917969
2006-06-12 00:00:00+00:00,294.86444091796875
2006-06-13 00:00:00+00:00,297.1441650390625
2006-06-14 00:00:00+00:00,300.0851135253906
2006-06-15 00:00:00+00:00,299.3252258300781
2006-06-16 00:00:00+00:00,297.08209228515625
2006-06-17 00:00:00+00:00,293.09832763671875
2006-06-18 00:00:00+00:00,291.8761901855469
2006-06-19 00:00:00+00:00,293.2001647949219
2006-06-20 00:00:00+00:00,293.8740539550781
2006-06-21 00:00:00+00:00,293.7297668457031
2006-06-22 00:00:00+00:00,294.3179016113281
2006-06-23 00:00:00+00:00,294.4889831542969
2006-06-24 00:00:00+00:00,294.16729736328125
2006-06-25 00:00:00+00:00,293.0389709472656
2006-06-26 00:00:00+00:00,293.8356018066406
2006-06-27 00:00:00+00:00,297.2383728027344
2006-06-28 00:00:00+00:00,300.36700439453125
2006-06-29 00:00:00+00:00,300.96295166015625
2006-06-30 00:00:00+00:00,300.9112548828125
2006-07-01 00:00:00+00:00,298.7488708496094
2006-07-02 00:00:00+00:00,295.5407409667969
2006-07-03 00:00:00+00:00,295.1368103027344
2006-07-04 00:00:00+00:00,296.4566650390625
2006-07-05 00:00:00+00:00,296.8818664550781
2006-07-06 00:00:00+00:00,299.72454833984375
2006-07-07 00:00:00+00:00,305.3817443847656
2006-07-08 00:00:00+00:00,303.938720703125
2006-07-09 00:00:00+00:00,303.99853515625
2006-07-10 00:00:00+00:00,302.7248229980469
2006-07-11 00:00:00+00:00,302.1615905761719
2006-07-12 00:00:00+00:00,300.51580810546875
2006-07-13 00:00:00+00:00,300.17529296875
2006-07-14 00:00:00+00:00,300.36419677734375
2006-07-15 00:00:00+00:00,302.65216064453125
2006-07-16 00:00:00+00:00,303.1621398925781
2006-07-17 00:00:00+00:00,304.3719177246094
2006-07-18 00:00:00+00:00,303.8057556152344
2006-07-19 00:00:00+00:00,304.7718200683594
2006-07-20 00:00:00+00:00,305.1480407714844
2006-07-21 00:00:00+00:00,305.24298095703125
2006-07-22 00:00:00+00:00,305.13763427734375
2006-07-23 00:00:00+00:00,304.6150207519531
2006-07-24 00:00:00+00:00,305.5442810058594
2006-07-25 00:00:00+00:00,304.5876159667969
2006-07-26 00:00:00+00:00,301.4344177246094
2006-07-27 00:00:00+00:00,303.50372314453125
2006-07-28 00:00:00+00:00,303.3692932128906
2006-07-29 00:00:00+00:00,305.2662048339844
2006-07-30 00:00:00+00:00,308.0975341796875
2006-07-31 00:00:00+00:00,309.24310302734375
2006-08-01 00:00:00+00:00,305.8569030761719
2006-08-02 00:00:00+00:00,299.5052185058594
